antecedents,consequents,support,confidence,lift
"frozenset({'Q8_Master’s degree', 'Q5_Yes'})",frozenset({'Q9_No'}),0.12893278326457475,0.7401913875598086,2.4957668578435754
frozenset({'Q9_No'}),"frozenset({'Q8_Master’s degree', 'Q5_Yes'})",0.12893278326457475,0.4347337361247717,2.4957668578435754
"frozenset({'Q5_No', 'Q9_No'})",frozenset({'Q8_Master’s degree'}),0.13722548651914823,0.910674778761062,2.3904465834532056
frozenset({'Q8_Master’s degree'}),"frozenset({'Q5_No', 'Q9_No'})",0.13722548651914823,0.3602056442791512,2.390446583453205
"frozenset({'Q3_Man', 'Q9_No'})",frozenset({'Q8_Master’s degree'}),0.20019169062799516,0.899625468164794,2.361443049611744
frozenset({'Q8_Master’s degree'}),"frozenset({'Q3_Man', 'Q9_No'})",0.20019169062799516,0.525486764384161,2.3614430496117436
frozenset({'Q8_Master’s degree'}),frozenset({'Q9_No'}),0.266158269783723,0.6986436228396413,2.3556766920448045
frozenset({'Q9_No'}),frozenset({'Q8_Master’s degree'}),0.266158269783723,0.8974286918645497,2.355676692044804
frozenset({'Q9_No'}),"frozenset({'Q3_Man', 'Q8_Master’s degree'})",0.20019169062799516,0.675003512716032,2.3243018072387174
"frozenset({'Q3_Man', 'Q8_Master’s degree'})",frozenset({'Q9_No'}),0.20019169062799516,0.689338499067298,2.3243018072387174
"frozenset({'Q5_Yes', 'Q9_No'})",frozenset({'Q8_Master’s degree'}),0.12893278326457475,0.8837475007140818,2.319764687665262
frozenset({'Q8_Master’s degree'}),"frozenset({'Q5_Yes', 'Q9_No'})",0.12893278326457475,0.33843797856049007,2.3197646876652613
"frozenset({'Q8_Master’s degree', 'Q5_No'})",frozenset({'Q9_No'}),0.13722548651914823,0.6636436920596533,2.2376644201707885
frozenset({'Q9_No'}),"frozenset({'Q8_Master’s degree', 'Q5_No'})",0.13722548651914823,0.462694955739778,2.2376644201707885
frozenset({'Q16_Under 1 year'}),frozenset({'Q11_< 1 years'}),0.12439054881860233,0.413377648525135,1.8188161774216471
frozenset({'Q11_< 1 years'}),frozenset({'Q16_Under 1 year'}),0.12439054881860233,0.5473047304730473,1.8188161774216471
